# RFC 8805 compliant Geofeed so that GeoLocation info providers can automatically update their databases.
# All prefixes listed here are maintained by Samuel Levy or Kersip Operations LLC.

# This GeoFeed can be obtained at https://geofeed.as137509.net/, or https://geofeed.as137509.net/geofeed.csv if preferred.

# Unused/Parent prefixes, set to zero data to (hopefully) flush out inaccurate data.
206.82.248.0/22,,,,
207.167.132.0/22,,,,
207.90.241.0/24,,,,
2a0e:46c4:2c20::/44,,,,
2a0e:46c4:1500::/40,,,,
2602:fbe6::/36



206.82.249.0/24,US,US-CA,Fremont,
206.82.251.0/24,US,US-TX,Houston,
2a0e:46c4:2c21::/48,DE,DE-HE,Frankfurt,
2a0e:46c4:2c22::/48,US,US-TX,Houston,
2a0e:46c4:2c23::/48,US,US-TX,Houston,
2a0e:46c4:2c25::/48,CH,CH-ZH,Zurich,
2602:fbe6:10::/44,US,US-NY,New York,
2602:fbe6::/44,US,US-FL,Tampa,
2602:fed2:7060::/44,US,US-NY,New York,

# Anyone is welcome to use this Geofeed.

# If any IP Information provider has a system for self-publishing ISP/Organization information, we would be happy to publish information in a compatible format. 
# Just reach out to noc@as137509.net or noc@ssh.contact
